section,Section/ station,Line,Other Line Affected,From,To,Duration
MAS-GDR,GDR-YD,UP line,NULL,21:30,00:30,03:00
MAS-GDR,MMC-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,BBQ-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,KOK-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,TNP-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,TVT-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,ENR-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,AIP-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,AIPP-YD,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,MMC-BBQ,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,BBQ-KOK,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,KOK-TNP,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,TNP-TVT,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,TVT-ENR,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,ENR-AIP,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,AIP-AIPP,Down Fast,UP fast,11:00,14:00,03:00
MAS-GDR,MMC-BBQ,UP slow,Down Slow,00:00,02:45,02:45
MAS-GDR,BBQ-KOK,UP slow,Down Slow,00:00,02:45,02:45
MAS-GDR,KOK-TNP,UP slow,Down Slow,00:00,02:30,02:30
MAS-GDR,TNP-TVT,UP slow,Down Slow,00:00,02:30,02:30
MAS-GDR,TVT-ENR,UP slow,Down Slow,00:15,02:30,02:15
MAS-GDR,ENR-AIP,UP slow,Down Slow,00:15,02:30,02:15
MAS-GDR,AIP-AIPP,UP slow,Down Slow,00:15,02:30,02:15
MAS-GDR,AIPP-MJR,UP line,Down line,00:15,02:15,02:00
MAS-GDR,MJR-PON,UP line,Down line,00:15,02:15,02:00
MAS-GDR,PON-KVP,UP line,Down line,00:30,02:15,01:45
MAS-GDR,KVP-GPD,UP line,Down line,00:40,02:15,01:35
MAS-GDR,GPD-ELR,UP line,Down line,01:00,02:10,01:10
MAS-GDR,ELR-AKM,UP line,Down line,00:40,01:55,01:15
MAS-GDR,AKM-TAD,UP line,Down line,00:45,01:50,01:05
MAS-GDR,TAD-AKAT,UP line,Down line,00:45,01:50,01:05
MAS-GDR,AKAT-SPE,UP line,Down line,00:45,01:45,01:00
MAS-GDR,SPE-PEL,UP line,Down line,00:55,01:45,00:50
MAS-GDR,PEL-DVR,UP line,Down line,12:30,14:00,01:30
MAS-GDR,DVR-NYP,UP line,Down line,12:25,13:55,01:30
MAS-GDR,NYP-PYA,UP line,Down line,12:30,14:45,02:15
MAS-GDR,PYA-ODR,UP line,Down line,12:35,13:45,01:10
MAS-GDR,ODR-GDR,UP line,Down line,12:30,13:30,01:00
MAS-GDR,MMC-YD,Down Slow,UP slow,00:00,02:45,02:45
MAS-GDR,BBQ-YD,Down Slow,UP slow,00:00,02:45,02:45
MAS-GDR,KOK-YD,Down Slow,UP slow,00:00,02:30,02:30
MAS-GDR,TNP-YD,Down Slow,UP slow,00:00,02:30,02:30
MAS-GDR,TVT-YD,Down Slow,UP slow,00:15,02:30,02:15
MAS-GDR,ENR-YD,Down Slow,UP slow,00:15,02:30,02:15
MAS-GDR,AIP-YD,Down Slow,UP slow,00:15,02:30,02:15
MAS-GDR,AIPP-YD,Down Slow,UP slow,00:15,02:15,02:00
MAS-GDR,MJR-YD,Down line,UP line,00:15,02:15,02:00
MAS-GDR,PON-YD,Down line,UP line,00:30,02:15,01:45
MAS-GDR,KVP-YD,Down line,UP line,00:40,02:15,01:35
MAS-GDR,GPD-YD,Down line,UP line,01:00,02:10,01:10
MAS-GDR,ELR-YD,Down line,UP line,00:40,01:55,01:15
MAS-GDR,AKM-YD,Down line,UP line,00:45,01:50,01:05
MAS-GDR,TAD-YD,Down line,UP line,00:45,01:50,01:05
MAS-GDR,SPE-YD,Down line,UP line,00:55,01:45,00:50
MAS-GDR,PEL-YD,Down line,UP line,12:30,14:00,01:30
MAS-GDR,DVR-YD,Down line,UP line,12:25,13:55,01:30
MAS-GDR,NYP-YD,Down line,UP line,12:30,14:45,02:15
MAS-GDR,PYA-YD,Down line,UP line,12:35,13:45,01:10
MAS-GDR,ODR-YD,Down line,UP line,12:30,13:30,01:00
MAS-GDR,GDR-YD,Down line,UP line,12:30,13:30,01:00
MSB-VM,MS-MKK,A line,NULL,01:00,04:00,03:00
MSB-VM,MKK-MBM,A line,NULL,01:00,04:00,03:00
MSB-VM,MBM-STM,A line,NULL,01:00,04:00,03:00
MSB-VM,STM-PV,A line,NULL,01:00,04:00,03:00
MSB-VM,PV-TBM,A line,NULL,01:00,04:00,03:00
MSB-VM,MS-YD,A line,NULL,01:00,04:00,03:00
MSB-VM,MKK-YD,A line,NULL,01:00,04:00,03:00
MSB-VM,MBM-YD,A line,NULL,01:00,04:00,03:00
MSB-VM,STM-YD,A line,NULL,01:00,04:00,03:00
MSB-VM,PV-YD,A line,NULL,01:00,04:00,03:00
MSB-VM,MS-MKK,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,MKK-MBM,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,MBM-STM,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,STM-PV,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,PV-TBM,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,MS-YD,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,MKK-YD,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,MBM-YD,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,STM-YD,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,PV-YD,Down Sub urban,NULL,01:30,04:30,03:00
MSB-VM,TBM-PRGL,Down line,NULL,01:30,04:30,03:00
MSB-VM,PRGL-VDR,Down line,NULL,01:30,04:30,03:00
MSB-VM,VDR-UPM,Down line,NULL,01:30,04:30,03:00
MSB-VM,UPM-GI,Down line,NULL,01:30,04:30,03:00
MSB-VM,POTI-CTM,Down line,NULL,01:30,04:30,03:00
MSB-VM,CTM-MMNK,Down line,NULL,01:30,04:30,03:00
MSB-VM,MMNK-SKL,Down line,NULL,01:30,04:30,03:00
MSB-VM,SKL-PWU,Down line,NULL,01:30,04:30,03:00
MSB-VM,PWU-CGL,Down line,NULL,01:30,04:30,03:00
MSB-VM,TBM-YD,Down line,NULL,01:30,04:30,03:00
MSB-VM,VDR-YD,Down line,NULL,01:30,04:30,03:00
MSB-VM,GI-YD,Down line,NULL,01:30,04:30,03:00
MSB-VM,CTM-YD,Down line,NULL,01:30,04:30,03:00
MSB-VM,SKL-YD,Down line,NULL,01:30,04:30,03:00
MSB-VM,CGL-YD,Down line,NULL,01:30,04:30,03:00
MSB-VM,CGL-OV,Down line,NULL,02:00,05:00,03:00
MSB-VM,OV-PTM,Down line,NULL,02:00,05:00,03:00
MSB-VM,PTM-KGZ,Down line,NULL,02:00,05:00,03:00
MSB-VM,KGZ-MMK,Down line,NULL,02:00,05:00,03:00
MSB-VM,MMK-MLMR,Down line,NULL,02:00,05:00,03:00
MSB-VM,MLMR-ACK,Down line,NULL,02:00,05:00,03:00
MSB-VM,ACK-TZD,Down line,NULL,02:00,05:00,03:00
MSB-VM,TZD-OLA,Down line,NULL,02:00,05:00,03:00
MSB-VM,OLA-TMV,Down line,NULL,02:00,05:00,03:00
MSB-VM,TMV-MTL,Down line,NULL,02:00,05:00,03:00
MSB-VM,MTL-PEI,Down line,NULL,02:00,05:00,03:00
MSB-VM,PEI-VVN,Down line,NULL,02:00,05:00,03:00
MSB-VM,VVN-MYP,Down line,NULL,02:00,05:00,03:00
MSB-VM,MYP-VM,Down line,NULL,02:00,05:00,03:00
MSB-VM,OV-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,KGZ-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,MMK-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,MLMR-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,TZD-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,OLA-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,TMV-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,MTL-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,PEI-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,VVN-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,MYP-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,VM-YD,Down line,NULL,02:00,05:00,03:00
MSB-VM,MS-MKK, B Line,NULL,22:00,01:00,03:00
MSB-VM,MKK-MBM, B Line,NULL,22:00,01:00,03:00
MSB-VM,MBM-STM, B Line,NULL,22:00,01:00,03:00
MSB-VM,STM-PV, B Line,NULL,22:00,01:00,03:00
MSB-VM,PV-TBM, B Line,NULL,22:00,01:00,03:00
MSB-VM,MS-YD, B Line,NULL,22:00,01:00,03:00
MSB-VM,MKK-YD, B Line,NULL,22:00,01:00,03:00
MSB-VM,MBM-YD, B Line,NULL,22:00,01:00,03:00
MSB-VM,STM-YD, B Line,NULL,22:00,01:00,03:00
MSB-VM,PV-YD, B Line,NULL,22:00,01:00,03:00
MSB-VM,MS-MKK,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,MKK-MBM,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,MBM-STM,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,STM-PV,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,PV-TBM,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,MS-YD,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,MKK-YD,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,MBM-YD,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,STM-YD,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,PV-YD,Up sub urban,NULL,23:00,02:00,03:00
MSB-VM,TBM-PRGL,UP line,NULL,23:00,02:00,03:00
MSB-VM,PRGL-VDR,UP line,NULL,23:00,02:00,03:00
MSB-VM,VDR-UPM,UP line,NULL,23:00,02:00,03:00
MSB-VM,UPM-GI,UP line,NULL,23:00,02:00,03:00
MSB-VM,POTI-CTM,UP line,NULL,23:00,02:00,03:00
MSB-VM,CTM-MMNK,UP line,NULL,23:00,02:00,03:00
MSB-VM,MMNK-SKL,UP line,NULL,23:00,02:00,03:00
MSB-VM,SKL-PWU,UP line,NULL,23:00,02:00,03:00
MSB-VM,PWU-CGL,UP line,NULL,23:00,02:00,03:00
MSB-VM,TBM-YD,UP line,NULL,23:00,02:00,03:00
MSB-VM,VDR-YD,UP line,NULL,23:00,02:00,03:00
MSB-VM,GI-YD,UP line,NULL,23:00,02:00,03:00
MSB-VM,CTM-YD,UP line,NULL,23:00,02:00,03:00
MSB-VM,SKL-YD,UP line,NULL,23:00,02:00,03:00
MSB-VM,CGL-YD,UP line,NULL,23:00,02:00,03:00
MSB-VM,CGL-OV,UP line,NULL,21:10,00:10,03:00
MSB-VM,OV-PTM,UP line,NULL,21:10,00:10,03:00
MSB-VM,PTM-KGZ,UP line,NULL,21:10,00:10,03:00
MSB-VM,KGZ-MMK,UP line,NULL,21:10,00:10,03:00
MSB-VM,MMK-MLMR,UP line,NULL,21:10,00:10,03:00
MSB-VM,MLMR-ACK,UP line,NULL,21:10,00:10,03:00
MSB-VM,ACK-TZD,UP line,NULL,21:10,00:10,03:00
MSB-VM,TZD-OLA,UP line,NULL,21:10,00:10,03:00
MSB-VM,OLA-TMV,UP line,NULL,21:10,00:10,03:00
MSB-VM,TMV-MTL,UP line,NULL,21:10,00:10,03:00
MSB-VM,MTL-PEI,UP line,NULL,21:10,00:10,03:00
MSB-VM,PEI-VVN,UP line,NULL,21:10,00:10,03:00
MSB-VM,VVN-MYP,UP line,NULL,21:10,00:10,03:00
MSB-VM,MYP-VM,UP line,NULL,21:10,00:10,03:00
MSB-VM,OV-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,KGZ-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,MMK-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,MLMR-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,TZD-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,OLA-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,TMV-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,MTL-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,PEI-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,VVN-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,MYP-YD,UP line,NULL,21:10,00:10,03:00
MSB-VM,VM-YD,UP line,NULL,21:10,00:10,03:00
AJJ-CGL,CGL-RDY,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,RDY-VB,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,VB-PALR,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,PALR-PYV,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,PYV-WJ,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,WJ-NTT,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,NTT-CJ(O),Down line,NULL,01:00,04:00,03:00
AJJ-CGL,CJ(O)-CJ(E),Down line,NULL,01:00,04:00,03:00
AJJ-CGL,CJ(E)-TMLP,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,TMLP-TKO,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,TKO-MLPM,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,MLPM-AJJ,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,CGL-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,PALR-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,WJ-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,CJ(O)-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,CJ(E)-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,TMLP-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,MLPM-YD,Down line,NULL,01:00,04:00,03:00
AJJ-CGL,AJJ-YD,Down line,NULL,01:00,04:00,03:00
